,metricType_x,symbol,metric.bookValuePerShareAnnual,metric.bookValuePerShareQuarterly,metric.cashFlowPerShareAnnual,metric.cashFlowPerShareTTM,metric.cashPerSharePerShareAnnual,metric.cashPerSharePerShareQuarterly,metric.dividendPerShare5Y,metric.dividendPerShareAnnual,metric.dividendsPerShareTTM,metric.ebitdPerShareTTM,metric.epsBasicExclExtraItemsAnnual,metric.epsBasicExclExtraItemsTTM,metric.epsExclExtraItemsAnnual,metric.epsExclExtraItemsTTM,metric.epsInclExtraItemsAnnual,metric.epsInclExtraItemsTTM,metric.epsNormalizedAnnual,metric.freeCashFlowPerShareTTM,metric.revenuePerShareAnnual,metric.revenuePerShareTTM,metric.tangibleBookValuePerShareAnnual,metric.tangibleBookValuePerShareQuarterly,metricType_y,metric.assetTurnoverAnnual,metric.assetTurnoverTTM,metric.inventoryTurnoverAnnual,metric.inventoryTurnoverTTM,metric.netIncomeEmployeeAnnual,metric.netIncomeEmployeeTTM,metric.receivablesTurnoverAnnual,metric.receivablesTurnoverTTM,metric.revenueEmployeeAnnual,metric.revenueEmployeeTTM,metric.roaRfy,metric.roaa5Y,metric.roae5Y,metric.roaeTTM,metric.roeRfy,metric.roeTTM,metric.roi5Y,metric.roiAnnual,metric.roiTTM
764,perShare,PYC.AX,0.00253,0.01091,-0.00165,-0.0020399999999999997,0.00248,0.01004,,,0.0,-0.0030800000000000003,-0.0017100000000000001,-0.00213,-0.0017100000000000001,-0.00213,-0.0017100000000000001,-0.00213,-0.0017100000000000001,-0.0026100000000000003,0.0,0.0,0.00253,0.00922,management,5e-05,0.0,,,,,0.00359,,,,-80.62556,-71.87338000000001,-91.60441,-25.329720000000002,-102.679,-22.62174,-91.5931,-102.679,-25.23546
765,perShare,PTBA.JK,1631.6070000000002,1631.6070000000002,440.5465,440.5465,441.1257,441.1257,,,0.0,529.7126,371.4078,372.5944,371.4078,372.5944,371.4078,372.5944,371.4078,279.2832,1994.65,1994.65,1622.485,1622.485,management,0.8668,0.8668,9.66264,9.66264,1903601000.0,1837378000.0,8.27731,8.27731,10265050000.0,9907941000.0,16.074460000000002,17.40295,28.13543,23.67365,23.67365,16.074460000000002,22.82762,20.08899,20.08899
766,perShare,PSA.AX,-0.08132,-0.08132,-0.09104,-0.09104,0.00262,0.00262,,,0.0,-0.01741,-0.10194,-0.10394,-0.10194,-0.10394,-0.10194,-0.10394,-0.04405,-0.02431,0.00458,0.00458,-0.08132,-0.08132,management,0.07528,0.07528,,,,,2.2433,2.1716599999999997,,,-167.7346,-52.052209999999995,-122.6874,,,-167.7346,-67.24627,-200.1238,-200.1238
767,perShare,PPT.AX,14.326239999999999,14.243360000000001,2.8881900000000003,2.86553,11.94379,10.76106,2.57,2.5,2.3,3.9872,2.50894,2.3163,2.46278,2.2726599999999997,2.46278,2.2726599999999997,2.46278,0.5234800000000001,11.034180000000001,10.99527,6.84599,6.23349,management,0.43323999999999996,0.43348000000000003,,,119761.4,107296.0,5.60165,4.01391,536575.4,519115.0,9.669830000000001,11.13588,20.98087,16.200329999999997,17.520229999999998,8.95956,17.28523,14.5271,12.94375
768,perShare,PNE3.DE,3.0070900000000003,2.99349,0.08209,0.08849,1.68597,1.8975099999999998,,,0.0,0.46906000000000003,-0.01366,-0.05944,-0.01366,-0.06447,-0.01366,-0.06447,0.08061,-0.36391999999999997,1.1952200000000002,1.6273799999999998,2.15735,2.1345,management,0.19321,0.24938000000000002,0.21247,0.35916,-6337.286,-10974.36,15.92801,4.70838,240787.9,318189.8,-0.50852,2.60606,7.602689999999999,-1.9813,-0.44133,-0.8601200000000001,3.3591300000000004,-0.69307,-1.03692
769,perShare,PMV.AX,8.51661,8.743730000000001,0.9987299999999999,1.60762,1.20088,1.2605,0.55,0.7,0.71,1.9083599999999998,0.6751,0.74229,0.67187,0.73956,0.67187,0.73956,0.67667,0.80525,8.02085,8.34159,3.29891,3.52664,management,0.72444,0.6815100000000001,2.93087,2.78288,11867.44,13066.44,57.2112,64.18754,141674.0,147363.9,6.06834,5.74805,7.29725,8.511519999999999,7.9286,6.0428,6.28631,6.59333,6.94078
770,perShare,PEK.AX,0.03497,0.04097,-0.0057399999999999994,0.0065,0.0026899999999999997,0.00221,,,0.0,-0.00387,-0.00575,0.00539,-0.00575,0.00539,-0.00575,0.00539,-0.00575,-0.00244,0.00011999999999999999,0.00018999999999999998,0.03497,0.04097,management,0.0025800000000000003,0.00343,,,,,2.43283,4.92504,,,-12.0832,-18.71624,-23.5654,14.22286,-15.536439999999999,11.77137,-20.410339999999998,-12.54549,12.13589
771,perShare,PDN.AX,0.1939,0.16879,-0.025,-0.023190000000000002,0.02345,0.03013,,,0.0,-0.0007,-0.03398,-0.03145,-0.03398,-0.03145,-0.02827,-0.02743,-0.0332,-0.011009999999999999,0.02002,0.0,0.18515,0.16147999999999998,management,0.0548,0.0,2.10833,0.0023899999999999998,-259245.8,-253994.5,25.84606,,113420.7,0.0,-12.526060000000001,-16.7121,-81.14803,-16.45273,-16.372989999999998,-12.47521,-20.10124,-9.99774,-9.73057
772,perShare,PBP.AX,0.83034,0.7863100000000001,0.11357,0.034460000000000005,0.14731,0.11197,0.0195,0.035,0.04,0.13992000000000002,0.06573999999999999,0.07153,0.06275,0.07153,0.17472000000000001,-0.013730000000000001,0.06275,-0.046919999999999996,1.21957,1.30198,0.5401699999999999,0.20953000000000002,management,0.79082,0.7085899999999999,4.29953,4.250319999999999,,,4.4892199999999995,5.12288,,,4.06913,3.28734,5.71375,8.39127,7.96444,3.8886,4.42889,5.185219999999999,4.8120400000000005
773,perShare,PAN.AX,0.1966,0.15057,0.03167,-0.0287,0.02266,0.02056,,,0.0,-0.00244,0.0201,-0.05235,0.0201,-0.05235,0.0201,-0.05235,-0.01669,-0.11333,0.04888,0.12437000000000001,0.1966,0.15057,management,0.14439000000000002,0.30582,6.93174,14.27351,78211.87,-144291.7,12.30076,34.79121,212813.6,326328.7,5.3064599999999995,-20.90127,-29.175559999999997,-27.87077,10.89001,-13.522120000000001,-23.88495,6.31762,-17.14441
774,perShare,OSR.DE,21.30741,21.46869,-0.3346,0.09466000000000001,3.28542,2.49512,0.8240000000000001,0.0,0.0,-0.05259,-2.94868,-2.8635599999999997,-2.94868,-2.86396,-4.2348099999999995,-3.36026,-0.18245999999999998,0.91507,36.22067,36.90768,16.427120000000002,16.76511,management,0.76426,0.7858,3.59303,3.44622,-13315.79,-13692.53,5.866219999999999,6.34539,134086.9,142151.1,-7.5896300000000005,3.8167199999999997,7.6562600000000005,-12.07934,-12.42291,-7.569139999999999,5.93576,-12.49773,-12.14735
775,perShare,ORI.AX,7.79922,7.79922,1.38068,1.38068,1.0841399999999999,1.0841399999999999,0.5881,0.55,0.55,2.22418,0.64505,0.64469,0.64225,0.64163,0.64225,0.64163,1.07671,0.38048000000000004,15.402579999999999,15.402579999999999,3.35964,3.35964,management,0.81309,0.81309,7.15486,7.15486,21782.61,21782.61,8.79743,8.79743,511130.4,511130.4,3.4651099999999997,-1.0731,-1.97335,8.34895,8.34895,3.4651099999999997,-1.3799700000000001,4.5174199999999995,4.5174199999999995
776,perShare,ORA.TO,63.16729,63.16729,15.10648,15.250210000000001,12.82559,12.82559,,,0.0,17.43061,8.03785,8.034939999999999,7.9621,7.889639999999999,7.9621,7.889639999999999,8.044039999999999,3.33794,72.36895,73.05748,63.16729,63.16729,management,0.69408,0.69408,5.23417,5.23417,,,8.10107,8.10107,,,7.636360000000001,8.5445,17.60792,13.45094,13.45094,7.636360000000001,12.27815,10.00189,10.00189
777,perShare,OFX.AX,0.28698,0.28564,0.09448,0.09821,0.74741,1.08544,0.061610000000000005,0.0592,0.0563,0.11527000000000001,0.07282999999999999,0.06835,0.07097,0.06667999999999999,0.07097,0.06667999999999999,0.07097,-0.06122999999999999,0.52485,0.52445,0.24155,0.23490999999999998,management,0.51685,0.42761000000000005,,,,,31.521240000000002,18.70288,,,6.9893,9.767510000000001,37.19934,23.71116,26.5638,5.43717,10.16015,7.205019999999999,5.5153300000000005
778,perShare,O4B.DE,6.31668,6.046880000000001,0.9815200000000001,1.23161,6.17403,6.75517,0.7,0.75,0.75,1.38471,0.67474,0.7833,0.67474,0.7833,0.67474,0.7833,0.67118,0.2056,16.23268,17.625329999999998,5.63296,5.16191,management,1.28754,1.2889,,,19867.21,22326.73,7.09155,5.55969,472598.6,497394.1,5.4126,6.48386,12.15735,12.95072,10.763069999999999,5.78555,12.134839999999999,10.74799,12.28347
779,perShare,NTM.AX,0.022000000000000002,0.02553,-0.00292,-0.00232,0.00112,0.00777,,,0.0,-0.00232,-0.00299,-0.00242,-0.00299,-0.00242,-0.00299,-0.00242,-0.00299,-0.0102,1e-05,1e-05,0.022000000000000002,0.02553,management,0.00045,0.00035,,,,,0.00822,0.03671,,,-13.07183,-14.133870000000002,-15.059170000000002,-9.40371,-13.626970000000002,-8.953710000000001,-15.057960000000001,-13.626970000000002,-9.40371
780,perShare,NRK,14.1201,15.1364,,,0.00946,0.0,,0.54,0.57,0.57723,0.64325,1.54416,0.64325,1.54416,0.64325,1.54416,0.64325,0.05181,0.922,0.9344100000000001,14.1201,15.1364,management,0.04017,0.03932,,,,,24.653470000000002,,,,2.80287,,,10.524980000000001,4.5637300000000005,6.50802,,2.8149900000000003,6.558110000000001
