,metricType,symbol,metric.bookValuePerShareAnnual,metric.bookValuePerShareQuarterly,metric.cashFlowPerShareAnnual,metric.cashFlowPerShareTTM,metric.cashPerSharePerShareAnnual,metric.cashPerSharePerShareQuarterly,metric.dividendPerShare5Y,metric.dividendPerShareAnnual,metric.dividendsPerShareTTM,metric.ebitdPerShareTTM,metric.epsBasicExclExtraItemsAnnual,metric.epsBasicExclExtraItemsTTM,metric.epsExclExtraItemsAnnual,metric.epsExclExtraItemsTTM,metric.epsInclExtraItemsAnnual,metric.epsInclExtraItemsTTM,metric.epsNormalizedAnnual,metric.freeCashFlowPerShareTTM,metric.revenuePerShareAnnual,metric.revenuePerShareTTM,metric.tangibleBookValuePerShareAnnual,metric.tangibleBookValuePerShareQuarterly
1079,perShare,GIL.TO,13.06099,13.06099,2.86376,2.86382,0.7837,0.7837,,0.75946,0.75946,3.39367,1.8031,1.80335,1.79946,1.79917,1.79946,1.79917,2.01249,0.76487,19.55528,19.55568,8.70568,8.70568
1081,perShare,GDO,,,,,,,,,,,0,,0,,0,,0,,,,,
1082,perShare,GCV,,,,,,,,,,,,,,,,,,,0,,,
1089,perShare,E5H.SI,0.48899,0.48899,0.05881,0.05881,0.08788,0.08788,0.00643,0.00615,0.00615,0.05008,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02149,0.00888,0.72062,0.72062,0.4679,0.4679
1090,perShare,CPU.AX,4.69592,4.67849,1.67193,1.36167,1.96274,1.90996,0.44325,0.50102,0.52383,1.97478,1.24543,0.84031,1.24305,0.8394,1.23961,0.83932,1.0897,0.18463,6.99519,7.00877,-3.61723,-4.00904
1091,perShare,CMW.AX,0.97602,1.03768,0.07618,0.11608,0.04543,0.07166,0.06026,0.06155,0.06832,0.08732,0.07537,0.10965,0.07505,0.10924,0.07505,0.10924,0.09081,0.0188,0.14767,0.16026,0.974,1.03515
1092,perShare,CLAS-B.ST,30.69864,28.48078,4.88133,14.69768,1.66092,3.63766,5.95,6.25,3.12,15.97058,1.13291,5.69857,1.13291,5.69547,1.13291,5.69547,6.12315,6.5005,138.8022,140.0509,23.15487,20.16185
1094,perShare,CBA.AX,39.36911,40.18372,4.9584,5.23759,29.91802,41.39542,4.25986,4.31,4.31,10.03062,4.73654,4.72592,4.57241,4.57262,4.68352,5.51214,4.67397,5.67265,12.85361,12.97518,34.86334,35.81563
1095,perShare,CARL-B.CO,293.5747,293.5747,79.27765,79.47602,35.28464,35.28464,14.8,21,21,97.39598,43.67367,43.70101,43.43772,43.46196,43.43772,43.46196,40.89022,32.46092,435.7791,435.7791,-178.0922,-178.0922
1098,perShare,BILL.ST,94.11491,94.11491,13.32456,13.32078,16.68361,16.68361,5.15,8.6,8.6,13.77045,4.8897,4.88793,4.8897,4.88793,32.50129,32.49566,4.89357,-6.95292,118.2283,118.1947,83.97901,83.97901
1104,perShare,AZN.L,8.03174,8.03174,2.4739,3.07805,3.80448,3.80448,2.22806,2.32376,2.29108,4.2614,0.82381,0.82971,0.82381,0.82936,0.82381,0.82936,0.71397,-1.90211,15.04705,15.04416,-11.85396,-11.85396
1106,perShare,AXFO.ST,19.207,19.207,18.22006,18.21754,3.81273,3.81273,7.25,7.25,7.25,21.11254,7.87084,7.87196,7.85216,7.85029,7.85216,7.85029,7.85216,2.79977,241.7588,241.599,2.61827,2.61827
1108,perShare,ASURB.MX,103.8605,103.8605,25.00052,25.11371,20.64226,20.64226,,10,10,34.43924,18.21941,18.21941,18.21941,18.21941,18.21941,18.21941,18.21941,19.41107,56.07213,56.07213,-59.89294,-59.89294
1109,perShare,ASML.AS,33.05514,33.05514,8.21584,8.21584,11.23864,11.23864,1.3855,2.04,2.04,8.58065,6.13379,6.13542,6.12215,6.12377,6.12215,6.12377,6.13277,2.699,28.03605,28.03605,16.18539,16.18539
1110,perShare,ASHOKLEY.NS,38.20339,,9.77973,6.31809,10.48461,,1.698,3.1,3.6,13.58625,7.08292,3.50017,7.08292,3.50017,7.08292,3.50017,8.54739,,113.1143,90.38433,29.43357,
1111,perShare,AQN.TO,10.47371,10.47371,2.15625,2.14046,0.16889,0.16889,0.62233,0.76286,0.76286,1.83676,1.48063,1.47521,1.48063,1.46526,1.48063,1.46526,1.50938,-0.49223,4.60552,4.57179,7.55649,7.55649
1116,perShare,ANN.AX,17.13891,17.11566,1.78486,2.25496,4.83748,4.78999,0.72001,0.76725,0.81092,3.08364,1.33912,1.69598,1.3177,1.6691,1.3177,1.6691,1.80608,1.12506,17.6834,18.47278,3.87047,3.60277
1118,perShare,AMM.TO,0.63875,0.62389,-0.03238,-0.02999,0.04547,0.01229,,,0,-0.04156,-0.03264,-0.03103,-0.03264,-0.03103,-0.03264,-0.03103,-0.03264,-0.07127,0,0,0.63875,0.62389
1122,perShare,AKTS,0.86112,1.22041,-0.97414,-1.01,0.99711,1.27727,,,0,-0.90998,-1.06308,-1.09879,-1.06308,-1.09879,-1.06308,-1.09879,-1.06127,-0.93413,0.05245,0.06135,0.84825,1.20763
1123,perShare,AJX.TO,0.34811,0.34811,-0.0397,-0.03958,0.20875,0.20875,,,0,-0.04269,-0.07446,-0.07451,-0.07446,-0.07451,-0.07446,-0.07451,-0.07385,-0.02061,0.47146,0.47033,0.224,0.224
1124,perShare,AIM.TO,4.64154,4.64154,0.23423,0.23481,1.9734,1.9734,,,0,-0.54132,0.36515,0.40817,0.36515,0.40817,8.79996,7.44346,0.36515,-1.54595,1.05682,1.05585,4.45613,4.45613
1125,perShare,AGL.L,0.13486,0.18045,-0.05761,-0.05297,0.07679,0.11821,,,0,-0.06761,-0.06556,-0.06599,-0.06556,-0.06599,-0.06556,-0.06599,-0.06309,-0.0741,0.00497,0.00531,0.08721,0.14127
1126,perShare,AEM.TO,30.22508,30.22508,6.06194,6.0504,2.50287,2.50287,0.58943,0.7793,0.7793,6.11744,2.82961,2.81,2.81963,2.79629,2.81963,2.79629,1.54759,-0.6315,14.83865,14.81038,27.81375,27.81375
1127,perShare,ADMF.JK,8078.795,8078.795,2204.285,2204.285,3122.492,3122.492,,,0,2974.208,2108.691,2108.691,2108.691,2108.691,2108.691,2108.691,2108.309,1024.104,11088.24,11088.24,7919.403,7919.403
1128,perShare,ADHI.JK,1762.075,1824.53,231.5229,236.798,916.3647,409.6281,29.65855,36.18007,36.18007,502.1021,180.9003,185.3068,180.9003,185.3068,180.9003,185.3068,180.8817,-518.1114,4396.563,4258.823,1762.075,1824.53
1129,perShare,ADES.JK,816.9463,896.5077,162.7946,186.3105,173.3744,275.2092,,,0,243.5494,89.77503,109.0581,89.77503,109.0581,89.77503,109.0581,89.66354,261.9509,1363.462,1396.51,813.3406,888.3198
1130,perShare,ACQ.TO,12.89082,12.89082,0.58912,0.58912,2.02527,2.02527,0.55,0.4,0.4,4.54607,-1.03401,-1.03393,-1.03401,-1.03393,-1.03401,-1.03393,-0.11061,2.38826,126.7706,126.7711,-2.94562,-2.94562
1131,perShare,0522.HK,28.43835,28.43835,3.60039,,5.68995,5.68995,2.1,2,2,3.19125,1.52324,1.52326,1.52324,1.51966,1.52324,1.51966,1.68871,,39.0695,38.97789,22.96526,22.96526
1134,perShare,ZGL.AX,0.34481,0.32317,0.03505,-0.00707,0.07876,0.05363,,,0,-0.00033,0.00923,-0.03771,0.00923,-0.03771,0.00239,-0.03782,0.00365,-0.01189,0.51273,0.39973,0.30625,0.28556
1136,perShare,XANO-B.ST,28.67945,28.67945,8.85463,8.59138,2.93964,2.93964,1.65,2,2,10.88705,5.84334,5.84341,5.7,5.67267,5.7,5.67267,5.7,8.73051,76.28607,74.01803,6.41703,6.41703
1139,perShare,WSA.AX,1.83361,1.89835,0.26815,0.3725,0.52737,0.67562,0.026,0.02,0.03,0.42284,0.0519,0.14166,0.05118,0.13886,0.05118,0.13886,0.04795,0.06719,0.96893,1.07792,1.83176,1.8965
1140,perShare,WOR.AX,11.4885,11.71286,0.6212,0.71094,0.87935,0.7595,0.20779,0.275,0.4,1.38569,0.37186,0.37165,0.3702,0.36906,0.36209,0.36024,0.59045,0.51958,16.48743,21.9655,-0.27575,-0.02877
1141,perShare,WEC.AX,0.01585,0.01212,-0.01382,-0.00832,0.00837,0.00278,,,0,-0.00573,-0.00213,0.00186,-0.00213,0.00186,-0.02221,-0.0164,-0.00344,-0.01654,0.0008,0.00218,-0.00153,-0.00337
1143,perShare,WBC.AX,18.77492,18.77492,2.1019,2.10351,5.90119,5.75375,1.84898,1.74,1.74,5.36283,1.96464,1.96416,1.89541,1.89502,1.89541,1.89502,2.5055,0.25235,5.61786,5.61786,15.34631,15.34631
1144,perShare,WBA.AX,1.33155,1.33155,0.0126,0.01307,0.01827,0.01827,,,0,-0.03939,-0.02552,-0.02552,-0.02552,-0.02554,-0.02552,-0.02554,-0.08546,-0.19456,0.32813,0.32773,0.74013,0.74013
1145,perShare,WALMEX.MX,9.62951,9.62951,2.90225,3.07846,1.76716,1.76716,1.718,2.08,2.08,4,2.17,2.16848,2.17,2.16848,2.17,2.16848,2.17,0.00544,37.03798,37.01308,7.50576,7.50576
1147,perShare,SDL.AX,-0.00782,-0.00782,,,2e-05,2e-05,,,0,9e-05,-0.02065,-0.02113,-0.02065,-0.02113,-0.02065,-0.02113,0.00797,-0.00028,3e-05,0.00048,-0.00782,-0.00782
1148,perShare,VIP.AX,0.01046,0.01046,-0.00889,-0.00853,0.00061,0.00061,,,0,-0.00254,-0.01038,-0.01056,-0.01038,-0.01056,-0.01038,-0.01056,-0.00514,-0.00645,0.02533,0.02533,0.01046,0.01046
1149,perShare,VII.AX,0.3669,0.37313,0.00698,0.04115,0.15288,0.10901,,,0,0.11733,-0.00973,0.01463,-0.00973,0.01463,-0.00973,0.01149,-0.00973,0.04542,3.94255,5.81462,0.36634,0.37258
1152,perShare,TPM.AX,3.10634,3.23083,0.47887,0.64507,0.0554,0.08191,0.08681,0.04,0.05,0.8658,0.18732,0.29154,0.18732,0.29154,0.18732,0.29154,0.37086,-0.03223,2.67015,2.68169,-0.8658,-0.67363
1154,perShare,TGR.AX,3.55202,3.72975,0.50583,0.49923,0.13766,0.19238,0.156,0.18,0.18,0.56801,0.33006,0.35014,0.32874,0.34894,0.32874,0.34894,0.31067,-0.68532,3.10422,2.64561,2.91275,3.17965
1155,perShare,TCN.AX,0.05306,0.05497,-0.00438,-0.00338,0.01118,0.0089,,,0,-0.00273,-0.00585,-0.00726,-0.00585,-0.00726,-0.00585,-0.00726,-0.00596,0.00274,0.04587,0.05547,-0.0061,-0.00452
1156,perShare,TCL.AX,3.27252,3.15404,0.4519,0.4701,0.61981,0.72521,0.49623,0.59,0.61,0.77564,0.06633,0.08455,0.06633,0.08455,0.06633,0.08455,0.0768,-0.74012,1.61598,1.5125,-6.8471,-6.66411
1157,perShare,TCL-A.TO,19.31524,19.15526,4.65446,4.61459,2.44675,4.87902,0.776,0.87,0.88,5.88727,2.24857,2.00115,2.246,1.99895,1.90046,1.65341,2.08305,2.54421,34.76888,34.25465,-1.65445,-0.55041
1158,perShare,SUD.AX,0.09826,0.04413,-0.07429,-0.12763,0.03032,0.01679,,,0,-0.02926,-0.07907,-0.14225,-0.07907,-0.14225,-0.07907,-0.14225,-0.03739,-0.03656,0.01268,0.00719,0.02592,0.01064
1161,perShare,SAND.ST,49.30221,49.30221,11.52223,14.9922,13.51498,13.51498,3.2,3,3,23.34529,6.97074,6.97154,6.95838,6.97154,6.79524,6.80731,10.2921,6.51952,82.1557,82.30162,33.29916,33.29916
1162,perShare,RKET.DE,26.43213,30.14447,1.25079,2.96282,15.78658,21.72686,0,0,0,-0.0079,1.28099,3.02658,1.27937,3.02658,1.27937,3.02658,1.2204,-0.98519,0.28254,0.34419,26.38105,30.13253
1163,perShare,RHC.AX,12.66574,11.79329,5.16675,6.20272,3.71188,2.15659,1.3,1.515,1.54,9.37427,2.64903,2.59415,2.633,2.5793,2.633,2.5793,2.78947,0.37404,57.13829,62.94009,-8.11865,-9.18626
1164,perShare,PLS.AX,0.20344,0.18951,-0.01392,-0.03746,0.0347,0.04746,,,0,-0.0178,-0.01633,-0.0408,-0.01633,-0.0408,-0.01633,-0.0408,-0.01633,-0.07344,0.02415,0.03465,0.20344,0.18951
