,metricType,symbol,metric.currentEv/freeCashFlowAnnual,metric.currentEv/freeCashFlowTTM,metric.currentRatioAnnual,metric.currentRatioQuarterly,metric.freeCashFlowAnnual,metric.freeCashFlowTTM,metric.longTermDebt/equityAnnual,metric.longTermDebt/equityQuarterly,metric.netInterestCoverageAnnual,metric.netInterestCoverageTTM,metric.payoutRatioAnnual,metric.payoutRatioTTM,metric.quickRatioAnnual,metric.quickRatioQuarterly,metric.totalDebt/totalEquityAnnual,metric.totalDebt/totalEquityQuarterly
9869,financialStrength,H15.SI,,119.1596,1.28339,1.28339,-26.633,25.481,34.48224,34.48224,8.11437,8.11437,36.46417,0,1.2111,1.2111,41.29199,41.29199
9870,financialStrength,HRL.AX,,,1.01724,0.80782,-6.28086,-4.57032,5.41345,7.96064,-51.87321,-6.93084,,,0.91318,0.70973,15.96151,23.68082
9871,financialStrength,HRN.L,,,2.49555,2.38239,-5.577,-6.077,2.1745,31.99592,-52.03371,-14.44326,,,1.05159,0.90243,9.512,49.40921
9872,financialStrength,HUR.L,6.59849,6.59849,2.42437,2.42437,45.78506,45.78506,42.87302,42.87302,,,,0,2.31897,2.31897,44.24781,44.24781
9873,financialStrength,HUB.AX,,131.1416,3.09053,3.44077,0.84443,8.21843,0.16951,7.08659,,,39.98556,38.10057,,,0.72655,9.60483
9874,financialStrength,JLH.L,,,0.71344,0.55445,,,37.33157,45.11719,,,,,0.62614,0.47382,45.19785,45.11719
9876,financialStrength,H19.SI,81.31088,22.3641,0.93706,0.93706,-0.182,6.36,9.38996,9.38996,,,100.6882,0,,,41.68259,41.68259
9877,financialStrength,P4O.DE,9.43321,28.92128,,,0.412,-0.336,29.05745,37.34988,9.71579,10.17654,0,0,,,29.05745,37.34988
9878,financialStrength,HYDRA.AS,,,1.08541,0.99533,-7.077,7.616,31.63595,47.49808,6.75365,4.77821,40.77818,47.40366,0.69574,0.62911,38.90588,67.5285
9880,financialStrength,HYDG.L,3.11317,3.65074,1.52067,1.51639,5.54,2.8,16.90373,15.24432,25.7438,,19.73801,19.32301,,,21.90448,18.46105
9881,financialStrength,IAC,26.39408,26.06649,3.67903,3.67903,801.287,801.287,106.6095,106.6095,10.86887,3.80724,0,0,,,107.0791,107.0791
9885,financialStrength,IB8.AX,,,4.99251,4.99251,-1.67806,-1.67806,0,0,,,,,,,0,0
9886,financialStrength,PNE3.DE,,,2.34956,2.34956,-60.445,-57.47,95.00722,96.94124,1.64774,1.64057,429.9133,430.5355,1.45762,1.45762,100.754,103.2688
9887,financialStrength,ICT.AX,,,0.17894,0.26265,-1.61112,-0.38107,,,-26.95025,-5.34217,,,,0.21676,,
9888,financialStrength,ICI.AX,,,1.2743,1.2743,-1.19581,-1.19581,0,0,-23.02062,-23.02062,,,,,2.12268,2.12268
9889,financialStrength,ICS.AX,61.25811,14.39841,2.11517,1.71971,0.23619,2.57207,0,7.04901,,,73.03855,66.76557,,,0,9.27509
9890,financialStrength,ICU.AX,,,1.6613,1.22068,-0.56703,-0.28467,0,1.0391,,,,,,,0,1.0391
9892,financialStrength,PAH3.DE,1.30607,1.30642,6.70588,6.70588,40,40,0.0992,0.0992,,,21.602,21.602,6.66667,6.66667,0.11337,0.11337
9893,financialStrength,IDEA.L,52.82816,39.43309,0.68753,0.49084,5.734,5.842,0,2.92644,20.60248,6.475,44.11562,28.48119,,,10.17888,35.86418
9894,financialStrength,IDT.AX,,,2.70544,3.08112,-2.717,-2.1,0.01999,0,-231.875,-372.2,,,2.57157,2.98479,0.03599,0.02938
9900,financialStrength,NSH.L,43.97892,43.97892,0.81225,0.81225,0.622,0.622,35.35617,35.35617,7.86207,7.86207,0,0,0.71567,0.71567,62.28482,62.28482
9905,financialStrength,PET.L,,,0.61256,0.36858,-0.40749,-0.3114,0,0,,,,,,,0,0
9908,financialStrength,IFM.AX,171.4877,123.4307,1.53775,1.85524,8.361,5.114,0,5.94978,20.08593,13.98176,76.20643,38.30681,,,0,8.80667
9909,financialStrength,IFA.TO,,,3.57977,3.12146,-0.76424,-0.02774,5.15036,5.79963,-1669.448,,,,2.35032,2.04301,18.74719,19.85529
9910,financialStrength,IFL.AX,,,,,-56.809,-38.978,25.8613,25.19531,20.25374,13.11075,,,,,25.8613,25.88888
9911,financialStrength,IGD.MI,,,1.991,1.991,-2.777,-2.777,101.7882,101.7882,1.43579,1.42019,438.0501,438.0501,1.61387,1.61387,106.6453,106.6453
9912,financialStrength,IGV.MI,1030.408,490.6704,1.57619,1.57619,-0.732,-0.732,5.48677,5.48677,-1.34983,-0.9719,,,1.56054,1.56054,9.87273,9.87273
9913,financialStrength,PDA.DE,40.52646,,1.47424,1.58885,-0.512,,0,0,11.62667,,,,1.44097,1.58885,0,1088.898
9915,financialStrength,IIT.L,,,41.82967,41.82967,,,0,0,,,28.74621,28.74621,,,0,0
9918,financialStrength,IKA.L,,,3.38496,2.90099,-3.03254,-3.91704,0,0,,,,,,,0,0
9919,financialStrength,PLUS.L,21.97999,21.97999,10.71777,10.71777,21.06192,21.06192,1.44315,1.44315,237.625,237.625,46.72436,20.43507,,,2.00634,2.00634
9920,financialStrength,SIM.L,,,7.59898,5.88935,-1.20391,-0.3646,0,1.55202,,,,,,,0,5.12789
9921,financialStrength,PAY.BR,16.7612,16.7612,8.34549,8.34549,2.64526,2.64526,0,0,,,60.46538,0,7.71832,7.71832,0,0
9922,financialStrength,MTMY.L,,,1.07683,1.07683,2.35555,2.35555,0,0,0.55462,0.43203,,,,,542.5098,542.5098
9923,financialStrength,PSM.DE,,,1.32832,1.32832,49,318,318.3192,301.2276,,6.06604,46.5423,46.5423,1.29391,1.29391,322.2852,301.6997
9924,financialStrength,U77.SI,,55.69714,4.36209,4.36209,2.61477,7.62975,9.61966,9.61966,1.66314,1.66314,,,3.89868,3.89868,11.82598,11.82598
9925,financialStrength,BAGR.L,,,1.09649,1.05459,-6.01549,-4.29934,15.08384,14.38506,-2.02317,-0.35279,,,0.70299,0.58598,93.4931,89.5205
9926,financialStrength,PSAN.DE,16.23153,12.90874,1.92773,1.92773,2.609,6.528,23.82403,23.82403,,22.4902,54.97069,54.97069,1.77766,1.77766,25.00026,25.00026
