,metricType,symbol,metric.bookValueShareGrowth5Y,metric.capitalSpendingGrowth5Y,metric.dividendGrowthRate5Y,metric.ebitdaCagr5Y,metric.ebitdaInterimCagr5Y,metric.epsGrowth3Y,metric.epsGrowth5Y,metric.epsGrowthQuarterlyYoy,metric.epsGrowthTTMYoy,metric.focfCagr5Y,metric.netMarginGrowth5Y,metric.revenueGrowth3Y,metric.revenueGrowth5Y,metric.revenueGrowthQuarterlyYoy,metric.revenueGrowthTTMYoy,metric.revenueShareGrowth5Y,metric.tbvCagr5Y,metric.totalDebtCagr5Y
4212,growth,1222.HK,11.06215,26.73762,16.14276,4.16349,-1.30052,0.04346,-5.35167,-4.40352,-59.92174,,-8.72315,63.51833,18.90664,-17.52871,-35.16782,20.61673,8.53193,34.23636
4213,growth,X.TO,3.04642,15.6846,15.16101,5.94514,5.93907,9.90612,18.7987,-31.53227,-13.76368,0.77583,25.43547,15.88715,7.86766,11.76264,12.74052,7.00056,,-2.31983
4214,growth,WKP.L,17.11792,24.32211,23.15427,17.0358,9.63546,-31.29715,-13.96785,-5.86196,-14.55451,,-23.15393,13.86493,15.21116,11.54381,13.2089,10.96063,22.23601,13.16428
4215,growth,WHI.L,,,,,,,,56.06823,,,,,,-11.36771,,,,
4216,growth,VTC.L,5.13469,-3.47674,12.76263,5.42576,5.12708,-7.19118,8.64118,-51.15156,-40.28405,36.72414,5.04639,5.65326,3.96819,-5.04701,-2.41308,3.42204,-1.64023,7.48244
4217,growth,USA.TO,-13.70399,-0.97215,,,,,,2.37428,-73.86967,,,-0.25888,13.16008,-30.51467,-14.5478,-15.27925,8.15713,26.23786
4218,growth,TW.L,5.28143,5.37068,39.40594,12.04236,12.21883,4.64809,12.31541,4.72747,2.60388,,2.17682,5.69965,10.07775,10.43095,6.35228,9.92208,5.44874,2.40182
4219,growth,TRX.L,-1.87084,7.54609,,,,,,36.98176,33.0298,,,274.0385,154.5136,315.041,339.1647,136.3187,-3.357,
4220,growth,,,,,,,,,,,,,,,,,,,
4221,growth,TON.L,9.04777,18.52776,10.71551,7.08985,7.08985,-5.3494,8.67879,-46.86889,-29.21599,110.1889,-0.18917,4.61234,7.11817,-17.18478,-8.78955,6.19869,10.73622,
4222,growth,TNET.BR,,4.34085,,8.79944,8.81221,80.7416,17.8474,102.3738,-3.91395,20.96413,7.24224,2.08037,8.64344,4.82053,1.96777,9.89783,,9.11115
4223,growth,TIDE.L,9.63644,-2.21349,,11.16467,10.1415,-26.64394,30.25855,2100,2.85714,,12.7763,19.5915,13.59154,5.49542,4.31837,12.69164,12.21516,16.13244
4224,growth,TALK.L,-7.10842,-0.56714,-45.99243,2.83887,1.34542,135.8454,-1.64926,133.2061,297.2471,,4.17072,-4.33857,-1.40549,-2.72277,-1.55087,-5.5828,,11.27764
4225,growth,SVW.AX,-4.03351,26.12335,1.63963,24.84706,27.92606,5.38186,-3.25754,-26.66667,-33.9037,,-8.63118,21.74596,5.5709,11.21248,12.18407,3.77045,-11.58692,19.63165
4226,growth,SVT.L,1.70767,10.12691,4.99848,2.23479,1.88136,0.08096,-7.49931,-11.77837,14.46678,,-7.85628,0.25973,0.12152,3.23313,3.9956,0.34052,-0.69345,5.54641
4227,growth,SVE.L,-8.97233,,,,,49.8314,,-223.2432,194.1569,,,34.61616,1.81331,,,-5.90709,-1.19388,
4228,growth,,,,,,,,,,,,,,,,,,,
4229,growth,SUN.AX,-1.15953,,0.97093,-4.11921,-4.84506,-0.00919,6.28575,-13.57556,11.00751,5.42256,8.96243,0.15687,-1.0098,-6.0594,4.19397,-3.08888,-1.01377,3.67168
4230,growth,SUH.L,-0.30232,-35.62523,,-26.29028,6.83412,2.61077,4.1033,132.6923,230.4412,,7.1816,1.92905,-0.43528,2.77105,3.69053,-2.87337,3.47374,2.10166
4231,growth,STJ.L,-1.83441,35.19937,14.63306,19.51369,19.4195,8.76747,-5.24812,-3.32376,-15.73446,-42.42076,-26.35387,13.43837,29.20863,206.3815,691.2972,28.67187,23.68699,44.01857
4232,growth,STHR.L,16.79143,-5.07318,3.00409,13.52307,17.51972,14.46401,21.04815,16.48739,20.07978,,7.58613,11.9026,12.48394,2.90697,6.90449,12.55122,21.98043,-28.33111
4233,growth,STB.L,26.66155,17.84454,4.85324,12.26159,9.71892,13.17772,14.49508,15.85101,30.20506,,4.77003,18.96285,18.05076,16.5404,18.37662,9.28222,34.45704,
4234,growth,STAF.L,12.82768,18.1737,-17.32931,29.36983,23.01173,,,-168.1454,-196.1645,,,17.09864,22.05747,11.14345,16.82493,18.26984,,59.96232
4235,growth,SRB.L,-14.9152,-10.19915,,,,,,148.4183,94.60121,,,7.23163,,90.79341,18.76573,,2.85563,7.94222
4236,growth,SPO.L,-19.18736,-17.5208,,,-43.28757,,,-201.2733,-205.622,-30.59455,,-0.01595,-9.05013,0.35272,2.08156,-7.51638,,-35.66833
