,symbol,metric.netIncomeEmployeeAnnual,metric.revenueEmployeeAnnual,metric.receivablesTurnoverAnnual,metric.freeOperatingCashFlow/revenue5Y,metric.freeOperatingCashFlow/revenueTTM,metric.grossMargin5Y,metric.grossMarginAnnual,metric.netProfitMargin%Annual,metric.netProfitMargin5Y,metric.dividendGrowthRate5Y,metric.focfCagr5Y,metric.revenueGrowth5Y,metric.totalDebtCagr5Y,metric.netDebtAnnual,metric.peNormalizedAnnual,metric.pfcfShareAnnual,metric.currentEv/freeCashFlowAnnual,metric.freeCashFlowAnnual,metric.longTermDebt/equityAnnual,metric.netInterestCoverageAnnual,metric.payoutRatioAnnual,metric.quickRatioAnnual,metric.totalDebt/totalEquityAnnual,metric.dividendYield5Y,metric.dividendYieldIndicatedAnnual,metric.capitalSpendingGrowth5Y,metric.inventoryTurnoverAnnual
5317,AP-UN.TO,2215574.0,1357228.1453159493,16.632620000000006,16.91309,12.46542,56.97991999999999,53.88568000000001,116.2107,97.85794,2.08937,4.5830199999999985,9.91206,9.1832,1496.0281753208858,7.28633,77.22877,16.16264,48.048299902311065,39.89645,13.781437,28.65185,1.23765,40.4079,3.71144,3.89702,-24.02133,13.63957
5318,HOT-UN.TO,-204155.60150000005,493137.97475999425,20.29706,-16.63375,-51.91897,31.02582,29.54868,0.80914,1.7344,19.68167,5.899377000000001,23.67907,28.04395,756.740434597986,21.05464,16.665882500000002,39.3936845,-141.4780887864951,182.1396,1.11146,2319.12,1.0135264999999998,183.213,10.81339,41.68428,9.65099,52.8173275
5319,ANX.TO,1963.421,110708.92399084354,51.77218,-24677.361059000003,-29.62503,-263.01585249999994,19.838,1.26254,-41478.619334,1.4401145000000004,-6.139128000000001,96.785734,-7.4796225000000005,0.01789691320034522,31.271238499999992,37.465275000000005,16.547574,-6.231535746553456,4.92825,0.54766,0.0,0.66574,9.71004,2.5144219999999993,8.177275499999997,2.3963639999999993,4.51882
5320,SAU.TO,-1291926.73405,214392.313714159,4.818366500000001,-18768.826669500002,-9381.960979500001,-428.9810795,-503.1487639999999,-32923.527004,-15931.131766999999,0.8581965000000003,7.344042,-12.925909499999998,25.946533499999997,-0.13021178971659284,16.088076,629.9104440000001,193.0637355,-1.2247781736143968,0.0,-217.258149,72.86192000000001,2.329899,0.0,9.990943,20.796279000000002,-29.34754,59.9244145
5321,KMP-UN.TO,1163088.7132,2639421.8864869582,209.5787,-2.18111,-9.61824,61.46175,63.01412,117.2807,67.88837,5.9962800000000005,16.871434999999998,10.19169,9.72739,1094.8205286079285,5.49302,51.3015715,18.55199,-16.552864985458513,77.97072,25.625897499999997,19.52098,0.10894,96.78291,4.2697400000000005,4.33976,16.89423,620.9236
5322,AUP.TO,-3447824.0,6302.357405774743,1.08718,-11994.59,-19987.42,-640.858799,-2164.151,-38945.28,-18686.14,-1.5282995,18.519014,2.72507,25.8172845,-309.3714234691466,24.607684499999998,14.444518499999997,20.8790725,-64.2562969231405,0.0,-2.20398,22.556544,4.9918510000000005,0.0,7.6143535,5.2896825000000005,2.93384,6.643159500000001
5323,AVP.TO,-6989.544850000003,645288.8355181532,3.67987,-19.97391,3.5752900000000003,0.45444,2.29896,-5.65394,-10.62604,-0.4058945000000002,17.2973305,19.6812,147.6286,78.8560491329451,11.952537,2.49953,21.017722499999998,4.193743662022024,98.27886349999999,-2.36654,21.984131,0.37288,123.29856399999998,2.5015849999999995,9.299879,9.34165,11.28352
5324,AZZ.TO,-669112.87085,137423.40028815233,7.265612,-4017.5608495,-9689.168823499998,-315.8213099999999,-77.855622,-8708.831694999999,-3021.0968105,1.8771835,-1.30139,6.205610500000001,4.431665,-0.3558595453694737,13.768626000000001,558.2937664999998,180.86766900000003,-3.2901203989912284,0.0,-18.35001,58.559560499999996,3.3770110000000004,0.0,11.437570000000001,21.233548000000003,-6.63215,14.053175000000001
5325,CHP-UN.TO,-2302404.0,3632905.3736432185,31.7338185,42.13783,28.01404,73.20764,71.43061,-45.11701,1.98612,2.43697,-4.74271,13.53929,12.98149,4631.437092161558,42.60599,11.54641,53.07752850000001,240.27282266910566,211.8888,0.6060399999999999,51.352094,0.8702854999999999,211.8888,5.55327,5.86839,40.25423,12.568607500000002
5326,TNT-UN.TO,47929.018744999994,528819.2214258368,46.88703,28.27096,25.54646,59.68482,58.30053,22.71152,36.25338,0.0,33.31986,35.48319,33.23722,560.1961636490238,15.57686,14.18109,51.4992875,19.360558925878625,129.2073,1.86419,157.5565,0.9487770000000001,150.3011,9.61788,13.05495,10.2717225,80.53093849999999
5327,ISV.TO,52574.53,256527.33457889734,11.44254,10.64475,5.11476,78.39004,69.94239,14.58998,18.97913,0.0,3.49371,10.56928,23.73174,3.2789650835636466,12.64828,36.02411,17.86601,4.841563511358307,21.85468,22.17175,72.16495,1.762272,25.220370000000006,4.90016,5.71429,-2.86764,4.7864355000000005
5328,BCI.TO,75280.08086999999,359123.5208834036,16.42306,6.21565,7.9059300000000015,77.99231999999998,78.0894,6.51235,5.40449,0.0,13.764,16.258960000000002,18.08778,99.9714167715863,18.8672,16.29262,31.89982,16.764296298923213,98.32946,6.16073,49.97334,0.59517,109.4053,1.90767,2.44898,17.83855,2.01106
5329,BEK-B.TO,-1036730.467,1159214.8132950156,5.03595,-2.93533,-102.3519,85.27793,82.55271,41.68671,58.9981,0.0,0.27338000000000023,-4.45822,4.752885000000001,-4.488950184134959,18.32827,205.564997,29.619834499999996,-0.10701129643102202,0.0,-760.573951,77.38294,3.1732859999999996,0.0,5.87595,7.01754,-5.221889499999998,23.762765
5330,BEI-UN.TO,21079.39,196444.10803379564,72.36955,5.50432,23.86424,56.04998000000001,56.83848,7.63892,11.51995,-23.26539,9.39053,-0.76959,5.758780000000002,2018.3703030703412,30.6363,9.94588,155.52812550000004,77.35182568058514,79.92357,1.2291,133.5844,0.11851,92.0572,4.3110800000000005,4.30267,-4.77922,21.52818
5331,CRT-UN.TO,2198332.7954499996,664121.6292458486,194.5546,26.44908,42.48619,96.09861,96.31257,62.81898,64.78729,3.64747,3.25653,7.23903,5.83833,1868.581539884795,26.7962,5.82257,75.69084,147.9043905029166,159.8989,5.99932,55.22108000000001,0.7509995,179.8404,5.02813,6.76495,10.560577,15.458330499999997
5332,PLZ-UN.TO,273344.905845,652576.9172724332,84.3985,8.687619999999999,12.12242,62.94804,64.66864,45.64871,30.70981,2.60149,25.28886,3.78948,4.69315,464.7082297468,5.42557,20.14849,78.391546,9.705195610990707,116.8655,4.73571,55.80174,1.024831,141.6327,5.96399,10.40743,2.8301735,71.25607449999998
