,metricType,symbol,metric.assetTurnoverAnnual,metric.assetTurnoverTTM,metric.inventoryTurnoverAnnual,metric.inventoryTurnoverTTM,metric.netIncomeEmployeeAnnual,metric.netIncomeEmployeeTTM,metric.receivablesTurnoverAnnual,metric.receivablesTurnoverTTM,metric.revenueEmployeeAnnual,metric.revenueEmployeeTTM,metric.roaRfy,metric.roaa5Y,metric.roae5Y,metric.roaeTTM,metric.roeRfy,metric.roeTTM,metric.roi5Y,metric.roiAnnual,metric.roiTTM
2594,management,GUY.TO,0.39622,0.40228,3.1206,4.31995,,-37156.19,498.382,133.3597,,334174.2,1.13179,,,-5.3608,1.40061,-4.47287,,1.23087,-4.86681
2595,management,GQC.V,0,0,,,,,,,,,-29.00957,-60.77199,-63.18959,-19.18838,-29.7934,-18.90613,-63.18959,-29.7934,-19.18838
2596,management,GKP.L,0.35385,0.31067,9.8492,7.16524,193482.8,167951.9,4.20611,3.36128,606815.4,499206.3,11.28264,-9.51906,-19.38097,15.07466,15.59262,10.45209,-10.80563,12.61798,12.18491
2597,management,GGD.TO,0.36132,0.40516,3.58725,3.68008,,,16.43632,15.20356,,,10.86954,-15.11151,-21.95311,0.70632,12.31774,0.61872,-19.55416,11.82954,0.6743
2598,management,GEI.TO,2.53577,2.53577,62.85903,62.85904,,,21.52168,20.94422,,,6.09509,-1.81106,-5.66298,23.22022,23.22022,6.09509,-2.21314,7.65453,7.65453
2600,management,FN.TO,0.03599,0.03599,,,173313.5,167498.1,7.26185,7.26185,1297333,1253803,0.48076,0.5439,41.62423,38.73943,38.73943,0.48076,0.59801,0.53268,0.53274
2603,management,EMBR3.SA,0.24239,0.24239,1.20723,1.20723,-45507.01,-45247.09,4.11453,4.11453,561976.2,558766.4,-1.96278,-0.02394,-0.28781,-5.98599,-5.98599,-1.96278,-0.0344,-3.52147,-3.52147
2604,management,EDV.TO,0.46715,0.46715,4.58956,4.58956,,,23.01963,23.01963,,,-7.20801,-0.15426,-2.21341,-20.22041,-20.22041,-7.20801,-0.18456,-8.84232,-8.84232
2606,management,DSM,0.04389,0.04389,,,,,2.91071,2.91071,,,6.59682,3.42031,4.9098,9.99938,9.99938,6.59682,4.28981,9.17981,9.17981
2607,management,DRT.TO,1.40969,1.40043,8.90827,8.90665,-5326.648,-5256.021,7.20013,7.19842,300181.4,296201.2,-2.50147,1.79749,2.40938,-3.51629,-3.53801,-2.48504,2.27068,-3.27154,-3.23738
2608,management,DRM.TO,0.20065,0.20065,,,,,3.25144,3.25144,,,11.46796,8.88292,19.42521,26.42944,26.42944,11.46796,10.5935,12.76177,12.76177
2609,management,DR.TO,0.83606,0.83606,16.02258,16.02258,,,5.95223,5.95223,,,12.53279,11.91684,16.62775,33.59346,33.5927,12.533,16.89897,18.06229,18.06259
2611,management,DB1.DE,0.02217,0.02217,,,162555.9,152826.6,7.84896,7.84896,520511.8,489357.9,0.69243,0.51138,18.11359,19.0039,19.0039,0.69243,5.99683,6.46521,6.46521
2612,management,D-UN.TO,0.0759,0.0759,,,,,38.94202,13.53574,,,4.17213,-2.22324,-4.49153,8.46292,8.46292,4.17213,-2.42453,4.48986,4.48986
2613,management,CYRE3.SA,0.39671,0.39671,0.94747,0.94747,,,3.03815,3.03815,,,5.39249,2.4186,2.94328,8.05582,8.05582,5.39248,3.2959,6.86878,6.86877
2617,management,COLR.BR,2.30067,2.22148,11.3844,11.30486,13677.98,13077.38,18.30936,18.20219,336120.7,337369,9.36227,9.30395,18.15364,17.68701,18.04075,8.61109,16.48342,16.33443,15.41052
2618,management,CNL.TO,0,0,,,-51387.06,-72492.8,,,,0,-7.88712,-7.50115,-10.10717,-19.5772,-18.30735,-7.15618,-7.8844,-8.61794,-7.72845
2620,management,CG.TO,0.49755,0.49755,1.33649,1.34998,-42123.21,-36300.98,23.57213,23.57213,619520.7,533891,-3.38303,3.84883,5.08066,-4.43834,-4.43834,-3.38303,4.26539,-3.70438,-3.70438
2621,management,CFW.TO,0.97985,0.97985,11.95036,11.87397,-43389.72,-47334.24,5.72697,5.72697,450265.3,491198.5,-9.4423,-7.03778,-21.26415,-35.4024,-35.4024,-9.4423,-7.97247,-10.72922,-10.72922
2626,management,BWO.OL,0.33984,0.33984,6.11076,6.11076,515159.6,510158,9.16534,4.94213,5598294,5543942,3.12721,-0.96354,-3.87355,7.81014,7.81014,3.12721,-1.21877,4.30155,4.30155
2627,management,BWFG,,,,,121846.2,,,,394682.3,,0.97001,0.83233,8.69693,10.09779,10.09779,0.97001,,,
2628,management,BVS.L,0.66934,0.66934,0.70257,0.70257,,,15.90391,13.31263,,,8.1911,7.82212,11.90469,11.86258,11.86258,8.1911,10.26156,10.27481,10.27481
2629,management,BVIC.L,0.88346,0.88346,5.14186,5.14186,16896.41,16871.74,4.89311,4.32289,322681.7,322210.6,4.62603,6.83233,36.23323,20.49918,20.49918,4.62603,11.48832,7.77473,7.77473
2630,management,BTOW3.SA,0.46541,0.46541,5.1955,5.1955,,,14.75091,14.75091,,,-2.18842,-3.52501,-11.51955,-6.86483,-6.86483,-2.18842,-5.02945,-3.02352,-3.02352
2631,management,BRKM5.SA,1.03078,0.86365,6.05309,5.64758,,,18.24924,15.03376,,,5.16674,3.58095,42.92509,0.63587,43.09009,-0.30154,5.36496,8.0772,-0.49308
2633,management,BPCL.NS,2.6498,,13.79209,,7109504,7198229,56.29662,,284184400,277971300,6.62907,8.00203,25.20741,,20.70034,,13.80421,11.04705,
2637,management,BN4.SI,0.26178,0.26178,0.95421,0.95421,,,1.16465,1.16465,,,2.62873,2.98269,7.42992,6.2902,6.2902,2.62873,4.7045,4.13379,4.13379
