,metricType,symbol,metric.assetTurnoverAnnual,metric.assetTurnoverTTM,metric.inventoryTurnoverAnnual,metric.inventoryTurnoverTTM,metric.netIncomeEmployeeAnnual,metric.netIncomeEmployeeTTM,metric.receivablesTurnoverAnnual,metric.receivablesTurnoverTTM,metric.revenueEmployeeAnnual,metric.revenueEmployeeTTM,metric.roaRfy,metric.roaa5Y,metric.roae5Y,metric.roaeTTM,metric.roeRfy,metric.roeTTM,metric.roi5Y,metric.roiAnnual,metric.roiTTM
4115,management,ITV.L,0.94839,0.94839,,,75293.38,74501.25,4.26289,3.9381,521068,515586,13.70413,14.13159,53.90021,56.88515,56.88515,13.70413,22.38483,22.07342,22.07342
4116,management,INGA.AS,,,,,87909.91,,,,339729.7,,0.54858,0.50873,9.17026,9.13267,9.13267,0.54858,,,
4117,management,GNS.L,0.60559,0.63394,4.19959,,2330.03,12786.77,6.23484,5.47789,169883.5,175573.5,0.8306,3.83469,7.3865,7.96091,1.69528,4.61688,4.38572,0.96919,5.28739
4118,management,GNC.L,0.9097,0.9097,22.88,22.88,3298.374,3715.117,11.6574,8.15163,109902.7,123788.7,2.73016,2.40046,7.3755,7.94906,7.94906,2.73016,3.44949,3.96637,3.96637
4119,management,G.MI,0.18041,0.18041,,,34555.27,34266.57,,,1302979,1292079,0.47845,0.45102,8.66022,8.44864,8.44864,0.47845,,,
4120,management,CLLN.L,1.0586,1.14742,56.52271,60.94824,4067.02,-33622.11,5.92464,3.36273,138024.3,139493.5,3.11928,3.40109,13.42171,-422.6535,14.65833,-27.65634,6.39941,6.07682,-60.04009
4121,management,STAN.L,,,,,22212.26,,,,154897.3,,0.33211,0.07583,0.25521,3.69423,3.69423,0.33211,,,
4122,management,WMH.L,0.89966,0.89966,,,-1754.5,-1819.652,222.7746,29.64761,102781.2,106597.9,-1.53575,-2.26886,-5.4235,-8.79372,-8.79372,-1.53575,-2.96908,-2.35048,-2.35048
4123,management,UKOG.L,0.00626,0.00551,21.55556,34.4,,-2347500,0.11765,0.05074,,35333.33,-46.58285,-28.14111,-32.23554,-44.10028,-56.47944,-36.58632,-31.48369,-54.9055,-43.82321
4124,management,,,,,,,,,,,,,,,,,,,,
4125,management,TEP.L,1.8456,2.10522,120.3591,155.9711,25604.52,24188.9,5.09906,18.75087,627486.8,610552.3,7.53093,7.07412,13.99905,15.26288,14.63498,8.34047,11.10212,11.85874,11.75212
4126,management,TATE.L,1.02722,1.01352,3.47011,,43546.25,56054.36,9.89228,8.61725,662817.3,691094.4,6.7487,6.36318,13.8931,16.55914,12.67507,8.22064,8.23136,8.45597,10.3727
4127,management,STKS,0.91925,0.91925,12.55267,12.55267,129650.3,93096.91,13.88734,13.88734,740374.3,531634.4,16.09741,4.4422,18.96093,88.96814,88.96814,16.09741,5.66518,19.43577,19.43577
4128,management,SLI.L,0.085,0.07186,,,,,19.1313,13.69533,,,6.30925,7.36088,10.67954,6.81479,8.65168,5.01228,7.55391,6.46543,5.12272
4129,management,SGE.L,0.5806,0.5806,,,19837.21,20854.57,6.17544,4.70474,146583.4,151783.6,7.85725,8.38955,21.51505,18.79195,18.50936,7.97721,12.76557,11.54694,11.72323
4130,management,SBRY.L,1.16,1.03443,14.29206,14.04593,4056.707,642.6735,77.66265,43.05646,632649.9,744910,0.74382,1.20613,3.35858,0.07958,2.21154,0.08925,2.11138,1.3352,0.15497
4131,management,RTO.L,0.83831,0.83831,5.39533,,6887.263,6610.3,6.40642,5.50365,65873.1,63224.09,8.7648,8.55965,39.94117,30.95043,30.95043,8.7648,12.44172,13.15564,13.15564
4132,management,RTN.L,0.9569,0.9569,103.6727,103.6727,,,47.86564,47.86564,,,-3.60323,0.17703,0.39333,-9.39138,-9.39138,-3.60323,0.23548,-4.50048,-4.50048
4133,management,RSA.L,0.34276,0.34276,,,,,,,,,1.90287,1.16951,5.55659,8.14348,8.26873,1.90287,,,
4134,management,,,,,,,,,,,,,,,,,,,,
4135,management,PSON.L,0.49746,0.49746,11.15916,11.15916,11305.68,11700.54,4.32291,3.1545,164442.4,170185.6,3.42012,-3.03717,-5.8773,5.98029,5.98029,3.42012,-3.74449,4.2618,4.2618
4136,management,PNN.L,0.2342,0.22767,4.09363,3.16256,42111.24,44611.67,5.98583,2.94403,279644.3,268283.2,3.52681,3.24111,11.54768,14.5652,12.92443,3.78587,3.57126,3.87693,4.09545
4137,management,PHARM.AS,0.76361,0.76361,1.29551,1.34384,183265.8,170731.1,9.19547,7.76203,855807.6,797273.6,16.35223,-6.01785,-21.6629,43.49576,43.49576,16.35223,-9.65946,28.03565,28.03565
4138,management,NOG.L,0.17468,0.17468,5.57276,5.57276,-108190.3,-118547.5,11.10081,11.10081,349528.2,382989.2,-5.40678,-1.63303,-4.93485,-19.68037,-19.68037,-5.40678,-1.72831,-5.72575,-5.72575
4139,management,,,,,,,,,,,,,,,,,,,,
4140,management,KIE.L,1.45513,1.35899,9.07681,20.35873,-9978.889,-10096.92,7.46279,4.65189,204217.1,201677.5,-7.11036,-0.64023,-3.25592,-35.16585,-34.72508,-6.80375,-1.41593,-16.22165,-13.23006
4141,management,KGF.L,1.05294,0.93414,2.79318,2.65512,2485.512,2043.984,50.04283,26.16009,150482.9,150090.6,1.73913,4.47256,7.06921,2.47746,2.99294,1.27214,6.17957,2.37465,1.71283
4142,management,KAZ.L,0.40807,0.40807,2.28427,2.26613,,,15.95775,14.9571,,,10.28273,6.56991,33.82617,36.08215,36.08215,10.28273,7.76998,12.41574,12.41574
4143,management,,,,,,,,,,,,,,,,,,,,
4144,management,ITP.TO,1.14107,1.14107,4.85418,4.85418,,,8.82812,8.82812,,,4.06032,7.63165,22.59621,16.14495,16.14456,4.06042,9.52027,5.06208,5.0622
4145,management,IMI.L,1.03298,1.03298,3.82794,3.82794,13910.44,13843.24,5.3845,4.45952,169956,169134.9,8.45467,8.79396,24.08074,22.28036,22.28036,8.45467,13.5688,12.60173,12.60173
4146,management,IGG.L,0.45327,0.43505,,,93530.28,83333.34,1.56145,1.67092,292407.7,274888.2,14.49833,19.50554,24.04367,18.30354,18.80159,13.18876,23.70839,17.74763,16.14301
4147,management,HSTN.L,0.06206,0.06812,,,1226804,1305263,4.11952,1.5493,1065979,1302632,7.14243,6.96376,12.80038,11.23697,11.58038,6.82537,7.36591,7.52831,7.13515
4148,management,HOC.L,0.57432,0.57432,8.5002,8.5002,,,13.05456,9.92,,,3.14942,-1.02316,-2.94027,3.98733,3.98733,3.14942,-1.26731,4.01666,4.01666
4149,management,,,,,,,,,,,,,,,,,,,,
4150,management,GFRD.L,0.95792,0.95693,3.02884,3.02884,16290.19,16763.12,3.90404,3.90001,508670,522897.4,3.06774,3.64294,14.38301,11.37286,11.37286,3.06774,9.67526,8.46236,8.46236
