,Ticker,Name,Exchange,Category Name,Country
84353,A26.SI,Sinarmas Land Limited,SES,Property Management,Singapore
84356,S9B.SI,TEE Land Limited,SES,Property Management,Singapore
84462,LRS.AX,Latin Resources Limited,ASX,Industrial Metals & Minerals,Australia
84468,RLC.AX,Reedy Lagoon Corporation Limited,ASX,Industrial Metals & Minerals,Australia
84515,LAA.AX,LatAm Autos Limited,ASX,Internet Information Providers,Australia
84520,SZG.DE,Salzgitter Aktiengesellschaft,GER,Steel & Iron,Germany
84607,SLR.AX,Silver Lake Resources Limited,ASX,Gold,Australia
84636,SO4.AX,Salt Lake Potash Limited,ASX,Industrial Metals & Minerals,Australia
84650,LTOD.L,Larsen & Toubro Limited,LSE,General Contractors,United Kingdom
84651,5HH.SI,Sinjia Land Limited,SES,Chemicals - Major Diversified,Singapore
84668,5EL.SI,Lasseters International Holdings Limited,SES,Resorts & Casinos,Singapore
84738,LTN.AX,Lantern Hotel Group,ASX,REIT - Hotel/Motel,Australia
84765,LCG.L,London Capital Group Holdings plc,LSE,Investment Brokerage - National,United Kingdom
84800,LDL.PA,Groupe LDLC,PAR,"Specialty Retail, Other",France
84827,593.SI,Lee Metal Group Limited,SES,Steel & Iron,Singapore
84836,SAC.DE,Sanochemia Pharmazeutika AG,GER,Drug Manufacturers - Major,Germany
84886,3PL.AX,3P Learning Limited,ASX,Education & Training Services,Australia
84907,S3F.DE,Santhera Pharmaceuticals Holding AG,GER,Biotechnology,Germany
84928,RLH.L,Red Leopard Holdings PLC,LSE,Lodging,United Kingdom
84938,B26.SI,Ban Leong Technologies Limited,SES,Computers Wholesale,Singapore
84971,LNC.PA,Les Nouveaux Constructeurs SA,PAR,Residential Construction,France
84989,D8DU.SI,First Ship Lease Trust,SES,Shipping,Singapore
85008,LGD.AX,Legend Corporation Limited,ASX,Diversified Electronics,Australia
85035,LGT-B.TO,Logistec Corporation,TOR,Shipping,Canada
85097,TTST.L,Tata Steel Limited,LSE,Steel & Iron,United Kingdom
85133,RIGD.L,Reliance Industries Limited,LSE,Oil & Gas Refining & Marketing,United Kingdom
85168,MAVD.L,Magyar Telekom Telecommunications Public Limited Company,LSE,Wireless Communications,United Kingdom
85196,SRT.DE,Sartorius Aktiengesellschaft,GER,Scientific & Technical Instruments,Germany
85199,5MD.SI,Soon Lian Holdings Limited,SES,Aluminum,Singapore
85350,LJ3.SI,OUE Limited,SES,Lodging,Singapore
85438,TAVI.L,Tavistock Investments PLC,LSE,Asset Management,United Kingdom
85489,540.SI,Tung Lok Restaurants (2000) Ltd,SES,Restaurants,Singapore
85567,SLT.DE,Schaltbau Holding AG,GER,General Contractors,Germany
85584,PZS.DE,Scherzer & Co. AG,GER,Conglomerates,Germany
85623,LOUP.PA,L.D.C. S.A.,PAR,Food - Major Diversified,France
